item_id,rater_id,level1_tags,faithfulness,actionability,clarity,free_text,duration_sec
Q102,R2,S1:supported;S2:unsupported;S3:unsupported,2,2,4,S2 정답률이 높음으로 볼 때 힌트를  안쓴것은 불필요해서라서 볼 수 있음 S3 비교기준이 제시된 적 없음,222
Q081,R2,S1:unsupported;S2:unsupported;S3:supported,2,1,2,S1은 근거 없이 비생산적 좌절을 주장 S2 감정관련 내용없음,18
Q037,R2,S1:partial;S2:unsupported;S3:unsupported;S4:unsupported,1,1,4,S2 힌트를 쓴것은 어려움을 인식한 것임 S3 4문항 모두 힌트를 쓴 것을 볼때 이전 지식 의존이라고 보기 어려움 S4 힌트를 많이 사용한 것을 볼때 교정 지도를 적극 활용함,361
Q011,R2,S1:unsupported;S2:unsupported;S3:partial,1,1,2,S1은 근거 없이 좌절 주장. 응답시간 오히려 감소. S2 감정관련 내용 없음,15
Q020,R2,S1:unsupported;S2:partial,1,1,4,S1은 기록과 정반대,3
Q109,R2,S1:partial;S2:supported;S3:unsupported,2,1,3,"S2는 노력인지 운인지 알 수 없다고 했는데, S3은 노력 쪽이라고 함",3
Q103,R2,S1:supported;S2:supported;S3:partial,4,2,4,,3
Q064,R2,S1:supported,5,1,5,,2
Q013,R2,S1:supported;S2:unsupported;S3:unsupported,2,1,4,S2 응답시간 0.06~0.18배로 노력 흔적 없음 S3 기존 정답률이 23%로 이번에만 특히 낮았다고 보기 어려움,20
Q130,R2,S1:partial;S2:unsupported,2,1,4,S2 정답률 34%에 정답 기록 없어 실수로 볼 근거 없음.,12
Q014,R2,S1:supported;S2:partial;S3:supported,4,1,3,,2
Q058,R2,S1:unsupported;S2:partial;S3:supported,2,1,4,S1 힌트를 사용함.,4
Q124,R2,S1:supported;S2:unsupported,3,1,4,S2 정반대. 힌트 없이 3회 연속 정답,2
Q022,R2,S1:partial;S2:partial;S3:supported,3,2,4,,1
Q120,R2,S1:partial;S2:partial,3,1,4,,1
Q089,R2,S1:supported;S2:partial,4,2,5,,1
Q096,R2,S1:unsupported;S2:unsupported,2,1,3,S1 힌트를 여러번 사용해서 독립적으로 해결했다고 보기 어려움. S2 응답시간을 늘려 해결하는 것을 볼 때 회피했다고 보기 어려움.,2
Q057,R2,S1:partial;S2:partial,2,1,4,S2 301 문제 경우 시간을 더 쓰고 힌트를 쓰지 않는 것을 볼때 꺼리는 태도를 보인다고 보기 어려움.,3
Q070,R2,S1:partial;S2:partial;S3:unknown,3,1,2,S3 문장 미완성,129
Q035,R2,S1:partial;S2:supported;S3:unsupported,3,1,3,S3 응답시간이 짧고 힌트 미사용으로 볼때 생산적 고난이라고 보기 어려움.,150
Q092,R2,S1:unsupported;S2:partial;S3:unsupported,2,1,4,S1 평소의 4~7.5배를 들여 혼자 붙잡은 학생을 회피했다고 말할 수 없음. S3역시 마찬가지임.,4
Q047,R2,S1:partial;S2:supported;S3:unsupported,2,2,2,S3 응답 시간 차이가 큰데 일관된다는 것은 이상함.,3
Q110,R2,S1:unsupported;S2:partial,2,1,5,S1 응답시간 평범하고 정답률도 46%,3
Q075,R2,S1:unsupported;S2:unsupported,1,1,4,S1 응답시간도 길고 힌트도 봄. S2 역시 응답시간도 길고 힌트도 봄.,2
