verifier,premise,subset,coding,n,auroc,ci_lo,ci_hi,ci_includes_0.5
mDeBERTa-v3-base-mnli-xnli,fact,core97,strict,83,0.5541379310344827,0.4217129085226972,0.6862945911101648,True
mDeBERTa-v3-base-mnli-xnli,fact,core97,lenient,83,0.5877906976744186,0.45788011695906433,0.7091740161033638,True
mDeBERTa-v3-base-mnli-xnli,fact,all282,strict,287,0.48004036779546977,0.41139787652914933,0.5516213148532985,True
mDeBERTa-v3-base-mnli-xnli,fact,all282,lenient,287,0.4945369916707496,0.42668828657097013,0.5608557994900515,True
mDeBERTa-v3-base-mnli-xnli,record,core97,strict,87,0.5907944514501893,0.4590606472332016,0.7085331562914942,True
mDeBERTa-v3-base-mnli-xnli,record,core97,lenient,87,0.6005291005291005,0.47727091969536295,0.7258661756658968,True
mDeBERTa-v3-base-mnli-xnli,record,all282,strict,299,0.5054748313440581,0.43267339779504155,0.5740533828978782,True
mDeBERTa-v3-base-mnli-xnli,record,all282,lenient,299,0.5049284364029165,0.4392018567444698,0.5748684512228832,True
DeBERTa-v3-large-mnli-fever-anli-ling-wanli,fact,core97,strict,83,0.5996551724137932,0.46448420836751436,0.729536496642149,True
DeBERTa-v3-large-mnli-fever-anli-ling-wanli,fact,core97,lenient,83,0.6069767441860464,0.4726519129782446,0.725702781112445,True
DeBERTa-v3-large-mnli-fever-anli-ling-wanli,fact,all282,strict,287,0.5220340883606189,0.4484183934891952,0.5959146834857186,True
DeBERTa-v3-large-mnli-fever-anli-ling-wanli,fact,all282,lenient,287,0.5121754042136207,0.44997246994985807,0.5789332919776484,True
DeBERTa-v3-large-mnli-fever-anli-ling-wanli,record,core97,strict,87,0.6103404791929382,0.47234217395507716,0.7413873961287756,True
DeBERTa-v3-large-mnli-fever-anli-ling-wanli,record,core97,lenient,87,0.6417989417989418,0.5203251401302832,0.7571685340802987,False
DeBERTa-v3-large-mnli-fever-anli-ling-wanli,record,all282,strict,299,0.5982615464452516,0.5238335905030256,0.6687363981014084,False
DeBERTa-v3-large-mnli-fever-anli-ling-wanli,record,all282,lenient,299,0.6101809343775317,0.5447702105346347,0.6740326993042749,False
Bespoke-MiniCheck-7B,fact,core97,strict,83,0.5844827586206897,0.4425108225108225,0.721841202582728,True
Bespoke-MiniCheck-7B,fact,core97,lenient,83,0.5816860465116279,0.4549713787954206,0.7072348136217211,True
Bespoke-MiniCheck-7B,fact,all282,strict,287,0.5398351648351648,0.46217150789711386,0.615575563181703,True
Bespoke-MiniCheck-7B,fact,all282,lenient,287,0.5317491425771681,0.4648335484770523,0.5985215942476885,True
Bespoke-MiniCheck-7B,record,core97,strict,87,0.7383354350567465,0.618652054552801,0.840563973063973,False
Bespoke-MiniCheck-7B,record,core97,lenient,87,0.7761904761904762,0.6770014847568896,0.8658562532433834,False
Bespoke-MiniCheck-7B,record,all282,strict,299,0.7194084068500259,0.6546708743624795,0.7807542245573365,False
Bespoke-MiniCheck-7B,record,all282,lenient,299,0.730353767215771,0.6727465773323165,0.784905898694702,False
Gemma-3-27B-it,fact,core97,strict,83,0.5179310344827586,0.38861139361194974,0.6433847506393862,True
Gemma-3-27B-it,fact,core97,lenient,83,0.5348837209302325,0.4120492099278736,0.660755831134202,True
Gemma-3-27B-it,fact,all282,strict,287,0.48214285714285715,0.41369706475794304,0.5531622156169036,True
Gemma-3-27B-it,fact,all282,lenient,287,0.4533806957373836,0.38673600358222,0.5168263427647444,True
Gemma-3-27B-it,record,core97,strict,87,0.7083858764186632,0.581104797979798,0.8202807917888563,False
Gemma-3-27B-it,record,core97,lenient,87,0.7084656084656086,0.594642548972701,0.8115525898520084,False
Gemma-3-27B-it,record,all282,strict,299,0.7189413596263623,0.6554991086126886,0.7803770622389341,False
Gemma-3-27B-it,record,all282,lenient,299,0.7205193986857502,0.6642135258962562,0.7747145807729959,False
